name,id,propeId,o_branch,p_date,file_num,p_purchase,detail,n_plots,payOptions,p_p_plot,landTotal,a_p_f_plots,n_c_piece,c_piece_price,c_piece_total,c_piece_paid,c_piece_status,landStatus,surv_fee,surv_paid,surveStatus,legal_fee,legal_paid,legalStatus,dev_fee,dev_paid,develStatus,reg_fee,reg_paid,regisStatus,elec_fee,elec_paid,electStatus,rat_fee,rat_paid,ratifStatus,defau_fee,defau_paid,defauStatus,service_fee,service_paid,serviceStatus,deed_fee,deed_paid,deedStatus,grandTopay,grandPaid,grandDebt,allocation,plotNum,blockNum,comment
Royalty Garden Shimawa,6228985c123bb520235c9557,621de03497e97f8676b729fe,Ikeja,4/10/2017,RGS/17/001,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2000000,702000,,,,
Royalty Garden Shimawa,6228985c123bb520235c9558,621de03497e97f8676b729fe,Ikeja,2/4/2019,RGS/19/001,Residential,Plot of Land,1,Outright Payment,1600000,1600000,1600000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,2300000,2000,Allocated,E,Block 3,
Royalty Garden Shimawa,6228985c123bb520235c9559,621de03497e97f8676b729fe,Ikeja,1/31/2019,RGS/19/002,Residential,Plot of Land,1,Outright Payment,1600000,1600000,1600000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,2300000,2000,Allocated,E,Block 2,
Royalty Garden Shimawa,6228985c123bb520235c955a,621de03497e97f8676b729fe,Ikeja,5/24/2019,RGS/19/003,Residential,Plot of Land,1,Outright Payment,1710000,1710000,1710000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412000,2412000,0,Allocated,E,Block6,
Royalty Garden Shimawa,6228985c123bb520235c955b,621de03497e97f8676b729fe,Ikeja,10/24/2019,RGS/19/004,Residential,Plot of Land,1,Outright Payment,1600000,1600000,1600000,0,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,1600000,702000,,,,
Royalty Garden Shimawa,6228985c123bb520235c955c,621de03497e97f8676b729fe,Ikeja,3/12/2019,RGS/19/005,Residential,Plot of Land,1,Outright Payment,1600000,1600000,1600000,0,0,0,0,0,0,150000,150000,0,50000,0,50000,450000,0,450000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252000,1750000,502000,,,,
Royalty Garden Shimawa,6228985c123bb520235c955d,621de03497e97f8676b729fe,Ikeja,12/20/2019,RGS/19/006,Residential,Plot of Land,1,Outright Payment,1500000,1500000,1500000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,400000,400000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102000,2102000,0,Allocated,E,Block 7,
Royalty Garden Shimawa,6228985c123bb520235c955e,621de03497e97f8676b729fe,Ikeja,12/13/2019,RGS/19/007,Residential,Plot of Land,1,Outright Payment,1620000,1620000,1620000,0,0,0,0,0,0,150000,150000,0,50000,0,0,500000,100000,400000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322000,1922000,400000,,,,
Royalty Garden Shimawa,6228985c123bb520235c955f,621de03497e97f8676b729fe,Ikeja,12/10/2019,RGS/19/008,Residential,Plot of Land,1,Outright Payment,1600000,1600000,1600000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,2302000,0,,,,
Royalty Garden Shimawa,6228985c123bb520235c9560,621de03497e97f8676b729fe,Ikeja,12/21/2019,RGS/19/009,Residential,Plot of Land,1,3 Months Plan,1600000,1600000,700000,900000,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,700000,1602000,Out of Contract,,,
